for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:314, actual_oracle_response:0 -1 -1 
actual_loop_count:315, actual_oracle_response:0 -1 0 
actual_loop_count:316, actual_oracle_response:0 -1 0 
actual_loop_count:317, actual_oracle_response:0 -1 -1 
actual_loop_count:318, actual_oracle_response:0 -1 -1 
actual_loop_count:319, actual_oracle_response:0 -1 -1 
actual_loop_count:320, actual_oracle_response:0 -1 -1 
actual_loop_count:321, actual_oracle_response:0 0 
actual_loop_count:322, actual_oracle_response:0 -1 0 
actual_loop_count:323, actual_oracle_response:0 -1 0 
actual_loop_count:324, actual_oracle_response:0 -1 0 
actual_loop_count:325, actual_oracle_response:0 0 
actual_loop_count:326, actual_oracle_response:0 -1 -1 
actual_loop_count:327, actual_oracle_response:0 0 
actual_loop_count:328, actual_oracle_response:0 0 
actual_loop_count:329, actual_oracle_response:0 0 
actual_loop_count:330, actual_oracle_response:0 -1 -1 
actual_loop_count:331, actual_oracle_response:0 -1 -1 
actual_loop_count:332, actual_oracle_response:0 -1 -1 
actual_loop_count:333, actual_oracle_response:0 -1 0 
actual_loop_count:334, actual_oracle_response:0 -1 -1 
actual_loop_count:335, actual_oracle_response:0 -1 0 
actual_loop_count:336, actual_oracle_response:0 -1 0 
actual_loop_count:337, actual_oracle_response:-1 0 
actual_loop_count:338, actual_oracle_response:-1 0 
actual_loop_count:339, actual_oracle_response:-1 -1 
actual_loop_count:340, actual_oracle_response:0 0 
actual_loop_count:341, actual_oracle_response:0 0 
actual_loop_count:342, actual_oracle_response:0 0 
actual_loop_count:343, actual_oracle_response:0 0 
actual_loop_count:344, actual_oracle_response:0 0 
actual_loop_count:345, actual_oracle_response:-1 0 
actual_loop_count:346, actual_oracle_response:-1 0 
actual_loop_count:347, actual_oracle_response:0 0 
actual_loop_count:348, actual_oracle_response:0 -1 -1 
actual_loop_count:349, actual_oracle_response:0 -1 -1 
actual_loop_count:350, actual_oracle_response:-1 0 
actual_loop_count:351, actual_oracle_response:0 0 
actual_loop_count:352, actual_oracle_response:0 -1 0 
actual_loop_count:353, actual_oracle_response:0 0 
actual_loop_count:354, actual_oracle_response:-1 0 
actual_loop_count:355, actual_oracle_response:0 0 
actual_loop_count:356, actual_oracle_response:0 -1 0 
actual_loop_count:357, actual_oracle_response:-1 0 
actual_loop_count:358, actual_oracle_response:0 -1 0 
actual_loop_count:359, actual_oracle_response:0 0 
actual_loop_count:360, actual_oracle_response:0 0 
actual_loop_count:361, actual_oracle_response:0 0 
actual_loop_count:362, actual_oracle_response:-1 -1 
actual_loop_count:363, actual_oracle_response:-1 -1 
