for NO_TESTS is 0 cond_prob_loop is 0 u_1_u_2 for each test:
List_count:693, [304, 387]
List_count:694, [2, 388]
List_count:695, [81, 388]
List_count:696, [168, 388]
List_count:697, [270, 388]
List_count:698, [328, 388]
List_count:699, [44, 389]
List_count:700, [122, 389]
List_count:701, [376, 389]
List_count:702, [245, 390]
List_count:703, [265, 390]
List_count:704, [386, 390]
List_count:705, [37, 391]
List_count:706, [153, 391]
List_count:707, [212, 391]
List_count:708, [213, 391]
List_count:709, [342, 391]
List_count:710, [28, 392]
List_count:711, [45, 392]
List_count:712, [74, 392]
List_count:713, [195, 392]
List_count:714, [4, 393]
List_count:715, [194, 393]
List_count:716, [283, 393]
List_count:717, [288, 393]
List_count:718, [365, 393]
List_count:719, [55, 394]
List_count:720, [318, 394]
List_count:721, [221, 395]
List_count:722, [309, 395]
List_count:723, [52, 396]
List_count:724, [158, 396]
List_count:725, [282, 396]
List_count:726, [39, 397]
List_count:727, [107, 397]
List_count:728, [172, 397]
List_count:729, [61, 398]
List_count:730, [187, 398]
List_count:731, [377, 398]
List_count:732, [2, 399]
List_count:733, [125, 399]
List_count:734, [60, 400]
List_count:735, [97, 400]
List_count:736, [180, 400]
List_count:737, [344, 400]
List_count:738, [346, 400]
List_count:739, [6, 401]
List_count:740, [158, 401]
List_count:741, [208, 401]
List_count:742, [326, 401]
List_count:743, [366, 401]
List_count:744, [10, 402]
List_count:745, [175, 402]
List_count:746, [258, 402]
List_count:747, [278, 402]
List_count:748, [308, 402]
List_count:749, [279, 403]
List_count:750, [332, 403]
List_count:751, [360, 403]
List_count:752, [83, 404]
List_count:753, [199, 404]
List_count:754, [202, 404]
List_count:755, [274, 405]
List_count:756, [374, 405]
List_count:757, [378, 405]
List_count:758, [381, 405]
List_count:759, [191, 406]
List_count:760, [233, 406]
List_count:761, [76, 407]
List_count:762, [139, 407]
List_count:763, [170, 407]
List_count:764, [277, 407]
List_count:765, [36, 408]
List_count:766, [89, 408]
List_count:767, [174, 408]
List_count:768, [127, 409]
List_count:769, [269, 409]
List_count:770, [289, 409]
List_count:771, [366, 409]
List_count:772, [73, 410]
List_count:773, [144, 410]
List_count:774, [202, 410]
List_count:775, [58, 411]
List_count:776, [146, 411]
List_count:777, [172, 411]
List_count:778, [236, 411]
List_count:779, [294, 412]
List_count:780, [353, 412]
List_count:781, [402, 412]
List_count:782, [69, 413]
List_count:783, [168, 413]
List_count:784, [223, 413]
List_count:785, [383, 413]
List_count:786, [83, 414]
List_count:787, [131, 414]
List_count:788, [180, 414]
List_count:789, [342, 414]
List_count:790, [392, 414]
List_count:791, [14, 415]
List_count:792, [186, 415]
List_count:793, [7, 416]
List_count:794, [294, 416]
List_count:795, [327, 416]
List_count:796, [76, 417]
List_count:797, [123, 417]
List_count:798, [197, 417]
List_count:799, [206, 417]
List_count:800, [48, 418]
List_count:801, [126, 418]
List_count:802, [271, 418]
List_count:803, [412, 418]
List_count:804, [226, 419]
List_count:805, [244, 419]
List_count:806, [344, 419]
List_count:807, [356, 419]
List_count:808, [42, 420]
List_count:809, [48, 420]
List_count:810, [132, 420]
List_count:811, [388, 420]
List_count:812, [243, 421]
List_count:813, [285, 421]
List_count:814, [415, 421]
List_count:815, [176, 422]
List_count:816, [275, 422]
List_count:817, [323, 422]
List_count:818, [325, 422]
List_count:819, [112, 423]
List_count:820, [179, 423]
List_count:821, [229, 423]
List_count:822, [404, 423]
List_count:823, [8, 424]
List_count:824, [28, 424]
List_count:825, [215, 424]
List_count:826, [315, 424]
List_count:827, [104, 425]
List_count:828, [246, 425]
List_count:829, [249, 425]
List_count:830, [275, 425]
List_count:831, [68, 426]
List_count:832, [133, 426]
List_count:833, [237, 426]
List_count:834, [337, 426]
List_count:835, [123, 427]
List_count:836, [142, 427]
List_count:837, [259, 427]
List_count:838, [14, 428]
List_count:839, [127, 428]
List_count:840, [170, 428]
List_count:841, [353, 428]
List_count:842, [20, 429]
List_count:843, [37, 429]
List_count:844, [161, 429]
List_count:845, [270, 429]
List_count:846, [381, 429]
List_count:847, [35, 430]
List_count:848, [254, 430]
List_count:849, [283, 430]
List_count:850, [343, 430]
List_count:851, [76, 431]
List_count:852, [271, 431]
List_count:853, [336, 431]
List_count:854, [58, 432]
List_count:855, [153, 432]
List_count:856, [214, 432]
List_count:857, [41, 433]
List_count:858, [260, 433]
List_count:859, [408, 433]
List_count:860, [101, 434]
List_count:861, [165, 434]
List_count:862, [197, 434]
List_count:863, [216, 434]
List_count:864, [247, 434]
List_count:865, [285, 434]
List_count:866, [16, 435]
List_count:867, [406, 435]
List_count:868, [105, 436]
List_count:869, [206, 436]
List_count:870, [308, 436]
List_count:871, [53, 437]
List_count:872, [100, 437]
List_count:873, [243, 437]
List_count:874, [93, 438]
List_count:875, [229, 438]
List_count:876, [389, 438]
List_count:877, [420, 438]
List_count:878, [183, 439]
List_count:879, [284, 439]
List_count:880, [341, 439]
List_count:881, [395, 439]
List_count:882, [134, 440]
List_count:883, [163, 440]
List_count:884, [255, 440]
List_count:885, [295, 440]
List_count:886, [371, 440]
List_count:887, [410, 440]
List_count:888, [79, 441]
List_count:889, [129, 441]
List_count:890, [154, 441]
List_count:891, [433, 441]
List_count:892, [27, 442]
List_count:893, [104, 442]
List_count:894, [151, 442]
List_count:895, [156, 442]
List_count:896, [220, 442]
List_count:897, [135, 443]
List_count:898, [164, 443]
List_count:899, [219, 443]
List_count:900, [417, 443]
List_count:901, [255, 444]
List_count:902, [326, 444]
List_count:903, [327, 444]
List_count:904, [328, 444]
List_count:905, [394, 444]
List_count:906, [49, 445]
List_count:907, [330, 445]
List_count:908, [439, 445]
List_count:909, [42, 446]
List_count:910, [117, 446]
List_count:911, [180, 446]
List_count:912, [245, 446]
List_count:913, [379, 446]
List_count:914, [395, 446]
List_count:915, [63, 447]
List_count:916, [131, 447]
List_count:917, [386, 447]
List_count:918, [436, 447]
List_count:919, [213, 448]
List_count:920, [340, 448]
List_count:921, [360, 448]
List_count:922, [399, 448]
List_count:923, [404, 448]
List_count:924, [47, 449]
List_count:925, [87, 449]
List_count:926, [90, 449]
List_count:927, [160, 449]
List_count:928, [90, 450]
List_count:929, [350, 450]
List_count:930, [421, 450]
List_count:931, [77, 451]
List_count:932, [84, 451]
List_count:933, [214, 451]
List_count:934, [297, 451]
List_count:935, [408, 451]
List_count:936, [9, 452]
List_count:937, [118, 452]
List_count:938, [251, 452]
List_count:939, [67, 453]
List_count:940, [141, 453]
List_count:941, [201, 453]
List_count:942, [367, 453]
List_count:943, [9, 454]
List_count:944, [174, 454]
List_count:945, [249, 454]
List_count:946, [302, 454]
List_count:947, [40, 455]
List_count:948, [110, 455]
List_count:949, [116, 455]
List_count:950, [251, 455]
List_count:951, [329, 455]
List_count:952, [331, 455]
List_count:953, [426, 455]
List_count:954, [117, 456]
List_count:955, [357, 456]
List_count:956, [359, 456]
List_count:957, [145, 457]
List_count:958, [148, 457]
List_count:959, [224, 457]
List_count:960, [276, 457]
List_count:961, [452, 457]
List_count:962, [75, 458]
List_count:963, [92, 458]
List_count:964, [126, 458]
List_count:965, [352, 458]
List_count:966, [445, 458]
List_count:967, [34, 459]
List_count:968, [142, 459]
List_count:969, [224, 459]
List_count:970, [282, 459]
List_count:971, [62, 460]
List_count:972, [300, 460]
List_count:973, [431, 460]
List_count:974, [129, 461]
List_count:975, [171, 461]
List_count:976, [212, 461]
List_count:977, [227, 461]
List_count:978, [265, 461]
List_count:979, [1, 462]
